,neighborhood,Current_Open_Cases,Average_Case_Length,Average_Total_Value_Thousands,Average_Land_Value_Thousands
0,Allentown,31,6.289115646258503,409.4774809160305,64.3199427480916
1,Black Rock,24,11.024105754276828,90.30495207667732,8.680271565495207
2,Broadway Fillmore,100,9.501655917727035,35.532882701103034,4.664293650793651
3,Central,70,7.334487534626039,1584.1126906222612,194.4448615249781
4,Central Park,37,8.460789616008654,265.9004067402673,59.46339395700175
5,Delavan Grider,52,9.321274085725522,91.56142026578074,5.93497134551495
6,Ellicott,20,7.649606299212598,272.0871726755218,54.06084250474384
7,Elmwood Bidwell,75,8.255693348365277,353.7317005957006,63.708703185703186
8,Elmwood Bryant,67,7.840047393364929,411.3544341186737,73.055842495637
9,Fillmore-Leroy,41,9.954001839926402,100.6110242857143,9.217429523809523
10,First Ward,22,8.25353645266594,81.79334500875657,16.33363660245184
11,Fruit Belt,36,9.404823428079242,633.317273324573,46.11369448094612
12,Genesee-Moselle,60,10.551340414769854,27.887654473161035,3.290914910536779
13,Grant-Amherst,25,11.642370572207085,123.6091914893617,9.13191489361702
14,Hamlin Park,21,9.068172312839817,101.79896288209606,8.341866812227074
15,Hopkins-Tifft,139,7.823125996810207,111.31054480651731,18.86570468431772
16,Kaisertown,34,9.324550397323296,87.2003792949576,10.895336903168229
17,Kenfield,28,10.507900677200903,76.22729818012134,5.549066728884741
18,Kensington-Bailey,52,9.102891156462585,66.21919073916737,6.151656754460493
19,Lovejoy,61,10.249560632688928,90.17525591810622,11.730745041586692
20,Lower West Side,26,7.428474576271187,388.03210157618213,40.367426444833626
21,MLK Park,36,10.634420096205238,44.36449309852451,3.4552127558305568
22,Masten Park,58,9.093108728943339,74.50111980170752,8.316405122555771
23,North Park,77,8.399751707014277,228.3373218019388,44.94865995057973
24,Parkside,62,9.263482914779745,376.17628747795413,80.34485097001763
25,Pratt-Willert,23,12.21152192605331,127.82677824267783,9.952970711297072
26,Riverside,69,12.79870759289176,140.45588960838728,6.73777366635831
27,Schiller Park,51,10.105982905982906,51.33844444444445,4.1591587301587305
28,Seneca Babcock,21,10.817841079460269,232.0716216987866,23.122810135617417
29,Seneca-Cazenovia,36,7.945383104125737,96.10120169304379,8.374168200220833
30,South Park,67,7.964631043256998,144.80561797752807,14.688249857170064
31,University Heights,84,7.780110497237569,188.69997532082922,20.084567291872325
32,Upper West Side,53,7.346996868773128,143.56063229205873,21.529582611968383
33,West Hertel,20,12.171399594320487,143.34785591766723,13.187564322469983
34,West Side,62,6.945108169195996,190.5313344722855,24.633864844343204
